molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL470226,CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,9330.0,nM
CHEMBL511966,Cc1ccc(C)c(NC(=O)c2cc3ccccc3oc2=O)c1,IC50,=,15950.0,nM
CHEMBL470020,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)c(C)c1,IC50,=,12320.0,nM
CHEMBL511967,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1C,IC50,=,20630.0,nM
CHEMBL512719,Cc1cccc(C)c1NC(=O)c1cc2ccccc2oc1=O,IC50,=,9790.0,nM
CHEMBL472069,O=C(Nc1c(F)cccc1F)c1cc2ccccc2oc1=O,IC50,=,12760.0,nM
CHEMBL471221,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1C,IC50,=,18770.0,nM
CHEMBL450518,COc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1OC,IC50,=,9450.0,nM
CHEMBL471232,Cc1cc(C)cc(NC(=O)c2cc3ccccc3oc2=O)c1,IC50,=,17560.0,nM
CHEMBL508793,COc1cc(NC(=O)c2cc3ccccc3oc2=O)cc(OC)c1,IC50,=,61460.0,nM
CHEMBL511789,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccccc3oc2=O)c(F)c1F,IC50,=,16040.0,nM
CHEMBL513549,O=C(Nc1c(F)c(F)nc(F)c1F)c1cc2ccccc2oc1=O,IC50,=,11430.0,nM
CHEMBL471448,CC(C)NC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,63520.0,nM
CHEMBL499266,CC(C)CNC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,58640.0,nM
CHEMBL512703,CC(C)c1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc1,IC50,=,60930.0,nM
CHEMBL470612,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)c(F)c1F,IC50,=,61380.0,nM
CHEMBL472218,O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,51890.0,nM
CHEMBL469571,Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,49750.0,nM
CHEMBL469783,COc1cc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc(OC)c1,IC50,=,52890.0,nM
CHEMBL526897,O=C(NNc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,41400.0,nM
CHEMBL500683,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)c(F)c1F,IC50,=,58490.0,nM
CHEMBL500684,O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccc(OCc3ccc(F)cc3)cc2oc1=O,IC50,=,55830.0,nM
CHEMBL484769,Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccc(F)cc3)cc2oc1=O,IC50,=,59560.0,nM
CHEMBL484410,COc1ccc(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)cc1OC,IC50,=,49200.0,nM
CHEMBL519678,COc1cc(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)cc(OC)c1,IC50,=,52620.0,nM
CHEMBL471228,COc1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)c(C)c3oc2=O)cc1OC,IC50,=,48950.0,nM
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,IC50,=,4.0,nM
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,IC50,=,67250.0,nM
CHEMBL92401,CC(C)NNC(=O)c1ccncc1,IC50,=,6560.0,nM
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,IC50,=,361380.0,nM
CHEMBL472080,O=C(NC1CCCCC1)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL472081,CC(C)NC(=O)c1cc2ccccc2oc1=O,IC50,,,
CHEMBL512883,CC(C)CNC(=O)c1cc2ccccc2oc1=O,IC50,,,
